FacilityId,FacilityName,FacilityShortName,FacilityIdentifiers,FacilityIdentificationSystems,AddressStreet,City,State,Zip,Locale,BuildingUseType,FacilityLeaseType,FacilityLeaseOwnershipType,FacilityOwnershipIndicator,OrganizationType,BuildingCommunityUseSpaceType,EducationInstitutionType,ServiceProviderType,WebsiteURL
8001,Lincoln Elementary Building,Lincoln Elem,8001,OrganizationIdentificationSystem_SEA,100 Main St,Detroit,StateAbbreviation_MI,48201,Locale_CityLarge,BuildingUseType_School,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,EducationInstitutionType_PublicSchool,ServiceProviderType_SchoolDistrict,
8002,Roosevelt High School Building,Roosevelt HS,8002,OrganizationIdentificationSystem_SEA,200 Oak Ave,Detroit,StateAbbreviation_MI,48202,Locale_CityLarge,BuildingUseType_School,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,EducationInstitutionType_PublicSchool,ServiceProviderType_SchoolDistrict,
8003,District Admin Center,DAC,8003,OrganizationIdentificationSystem_SEA,3011 W Grand Blvd,Detroit,StateAbbreviation_MI,48202,Locale_CityLarge,BuildingUseType_AdministrationBuilding,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,,,
8004,West Side Gymnasium,West Gym,8004,OrganizationIdentificationSystem_SEA,500 Elm St,Grand Rapids,StateAbbreviation_MI,49503,Locale_CityMidsize,BuildingUseType_Gymnasium,,FacilityLeaseOwnershipType_Leased,FacilityOwnershipIndicator_No,,,,,
8005,Central Library Annex,Library Annex,8005,OrganizationIdentificationSystem_SEA,143 Bostwick Ave,Grand Rapids,StateAbbreviation_MI,49503,Locale_CityMidsize,BuildingUseType_Library,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,EducationInstitutionType_PublicSchool,,
8006,STEM Lab Building,STEM Lab,8006,OrganizationIdentificationSystem_SEA,901 Technology Blvd,Ann Arbor,StateAbbreviation_MI,48104,Locale_SuburbanLarge,BuildingUseType_Laboratory,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,EducationInstitutionType_PublicSchool,,
8007,Transportation Depot,Trans Depot,8007,OrganizationIdentificationSystem_SEA,700 Bus Rd,Flint,StateAbbreviation_MI,48503,Locale_CitySmall,BuildingUseType_TransportationFacility,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,,,
8008,Maintenance Facility,Maint Bldg,8008,OrganizationIdentificationSystem_SEA,702 Bus Rd,Flint,StateAbbreviation_MI,48503,Locale_CitySmall,BuildingUseType_MaintenanceBuilding,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,,,
8009,Community Auditorium,Comm Aud,8009,OrganizationIdentificationSystem_SEA,300 Center St,Lansing,StateAbbreviation_MI,48933,Locale_CityMidsize,BuildingUseType_Auditorium,,FacilityLeaseOwnershipType_Leased,FacilityOwnershipIndicator_No,,,,,
8010,Athletic Stadium,Stadium,8010,OrganizationIdentificationSystem_SEA,400 Stadium Dr,Kalamazoo,StateAbbreviation_MI,49008,Locale_CitySmall,BuildingUseType_Stadium,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,,,
