LEAId,LEAName,LEAShortName,LEAIdentifiers,LEAIdentificationSystems,AddressStreet,City,State,Zip,LEAOperationalStatus,LEAType,PublicSchoolChoiceStatus,WebsiteURL,Locale
6001,Detroit Public Schools Community District,DPSCD,6001|MI-6001,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_NCES,3011 W Grand Blvd Ste 14100,Detroit,StateAbbreviation_MI,48202,LEAOperationalStatus_Open,LocalEducationAgencyType_IndependentCharterDistrict,,https://www.detroitk12.org,Locale_CityLarge
6002,Grand Rapids Public Schools,GRPS,6002|MI-6002,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_NCES,1331 Franklin St SE,Grand Rapids,StateAbbreviation_MI,49506,LEAOperationalStatus_Open,LocalEducationAgencyType_IndependentCharterDistrict,,https://www.grps.org,Locale_CityMidsize
6003,Ann Arbor Public Schools,AAPS,6003|MI-6003,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_NCES,2555 S State St,Ann Arbor,StateAbbreviation_MI,48104,LEAOperationalStatus_Open,LocalEducationAgencyType_IndependentCharterDistrict,,https://www.a2schools.org,Locale_SuburbanLarge
6004,Flint Community Schools,FCS,6004,OrganizationIdentificationSystem_SEA,923 E Kearsley St,Flint,StateAbbreviation_MI,48503,LEAOperationalStatus_Open,LocalEducationAgencyType_IndependentCharterDistrict,,https://www.flintschools.org,Locale_CitySmall
6005,Lansing School District,LSD,6005|MI-6005,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_NCES,519 W Kalamazoo St,Lansing,StateAbbreviation_MI,48933,LEAOperationalStatus_Open,LocalEducationAgencyType_IndependentCharterDistrict,,https://www.lansingschools.net,Locale_CityMidsize
6006,Kalamazoo Public Schools,KPS,6006,OrganizationIdentificationSystem_SEA,1220 Howard St,Kalamazoo,StateAbbreviation_MI,49008,LEAOperationalStatus_Open,LocalEducationAgencyType_IndependentCharterDistrict,,https://www.kalamazoopublicschools.com,Locale_CitySmall
6007,Traverse City Area Public Schools,TCAPS,6007|MI-6007,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_NCES,412 Webster St,Traverse City,StateAbbreviation_MI,49686,LEAOperationalStatus_Open,LocalEducationAgencyType_IndependentCharterDistrict,,https://www.tcaps.net,Locale_TownFringe
6008,Saginaw Public Schools,SPS,6008,OrganizationIdentificationSystem_SEA,550 Millard St,Saginaw,StateAbbreviation_MI,48607,LEAOperationalStatus_Open,LocalEducationAgencyType_IndependentCharterDistrict,,https://www.spsd.net,Locale_CitySmall
6009,Muskegon Public Schools,MPS,6009,OrganizationIdentificationSystem_SEA,349 W Webster Ave,Muskegon,StateAbbreviation_MI,49440,LEAOperationalStatus_Open,LocalEducationAgencyType_IndependentCharterDistrict,,https://www.muskegonpublicschools.org,Locale_CitySmall
6010,Battle Creek Public Schools,BCPS,6010,OrganizationIdentificationSystem_SEA,3 West Van Buren St,Battle Creek,StateAbbreviation_MI,49017,LEAOperationalStatus_Open,LocalEducationAgencyType_IndependentCharterDistrict,,https://www.bcsk12.org,Locale_SuburbanSmall
