InstitutionId,InstitutionName,InstitutionShortName,InstitutionIdentifiers,InstitutionIdentificationSystems,AddressStreet,City,State,Zip,County,OperationalStatus,CarnegieClassification,LevelOfInstitution,WebsiteURL,Locale
7001,University of Michigan,U-M,7001|MI-7001,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_IPEDS,503 Thompson St,Ann Arbor,StateAbbreviation_MI,48109,Washtenaw,OperationalStatus_Open,CarnegieBasicClassification_DoctoralUniversitiesVeryHighResearchActivity,LevelOfInstitution_FourYearOrAbove,https://umich.edu,Locale_CityMidsize
7002,Michigan State University,MSU,7002|MI-7002,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_IPEDS,426 Auditorium Rd,East Lansing,StateAbbreviation_MI,48824,Ingham,OperationalStatus_Open,CarnegieBasicClassification_DoctoralUniversitiesVeryHighResearchActivity,LevelOfInstitution_FourYearOrAbove,https://msu.edu,Locale_CityMidsize
7003,Wayne State University,WSU,7003|MI-7003,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_IPEDS,42 W Warren Ave,Detroit,StateAbbreviation_MI,48202,Wayne,OperationalStatus_Open,CarnegieBasicClassification_DoctoralUniversitiesHighResearchActivity,LevelOfInstitution_FourYearOrAbove,https://wayne.edu,Locale_CityLarge
7004,Western Michigan University,WMU,7004,OrganizationIdentificationSystem_SEA,1903 W Michigan Ave,Kalamazoo,StateAbbreviation_MI,49008,Kalamazoo,OperationalStatus_Open,CarnegieBasicClassification_DoctoralUniversitiesHighResearchActivity,LevelOfInstitution_FourYearOrAbove,https://wmich.edu,Locale_CitySmall
7005,Central Michigan University,CMU,7005,OrganizationIdentificationSystem_SEA,1200 S Franklin St,Mount Pleasant,StateAbbreviation_MI,48859,Isabella,OperationalStatus_Open,CarnegieBasicClassification_DoctoralUniversitiesModerateResearchActivity,LevelOfInstitution_FourYearOrAbove,https://cmich.edu,Locale_TownDistant
7006,Eastern Michigan University,EMU,7006,OrganizationIdentificationSystem_SEA,900 Oakwood St,Ypsilanti,StateAbbreviation_MI,48197,Washtenaw,OperationalStatus_Open,CarnegieBasicClassification_MasterCollegesUniversitiesLargerPrograms,LevelOfInstitution_FourYearOrAbove,https://emich.edu,Locale_SuburbanLarge
7007,Grand Valley State University,GVSU,7007,OrganizationIdentificationSystem_SEA,1 Campus Dr,Allendale,StateAbbreviation_MI,49401,Ottawa,OperationalStatus_Open,CarnegieBasicClassification_MasterCollegesUniversitiesLargerPrograms,LevelOfInstitution_FourYearOrAbove,https://gvsu.edu,Locale_SuburbanSmall
7008,Ferris State University,Ferris,7008,OrganizationIdentificationSystem_SEA,1201 S State St,Big Rapids,StateAbbreviation_MI,49307,Mecosta,OperationalStatus_Open,CarnegieBasicClassification_MasterCollegesUniversitiesMediumPrograms,LevelOfInstitution_FourYearOrAbove,https://ferris.edu,Locale_TownDistant
7009,Saginaw Valley State University,SVSU,7009,OrganizationIdentificationSystem_SEA,7400 Bay Rd,University Center,StateAbbreviation_MI,48710,Saginaw,OperationalStatus_Open,CarnegieBasicClassification_MasterCollegesUniversitiesSmallerPrograms,LevelOfInstitution_FourYearOrAbove,https://svsu.edu,Locale_SuburbanSmall
7010,Northern Michigan University,NMU,7010,OrganizationIdentificationSystem_SEA,1401 Presque Isle Ave,Marquette,StateAbbreviation_MI,49855,Marquette,OperationalStatus_Open,CarnegieBasicClassification_MasterCollegesUniversitiesMediumPrograms,LevelOfInstitution_FourYearOrAbove,https://nmu.edu,Locale_TownDistant
